Query;Thread Id;Rank;threadFinalScore;threadTitleAsymSim;threadTitleAsymSimNorm;threadBodyAsymSim;threadBodyAsymSimNorm;queryTitleCoverageScore;queryCodeCoverageScore;jaccard;2-gramsScore;3-gramsScore;bm25Score;bm25ScoreNorm;tf-idf;tf-idfNorm;AnswerCount;AnswerCountNorm;ThreadUpScore;ThreadTotalUpScore;ThreadTotalUpScoreNorm;

How can I insert an element in array at a given position?


Found Threads: (4);Pivot;------;------;13.64;------;11.54;------;------;------;------;2;1;19.4;------;0.62;------;-1.0;------;------;-1.0
;https://stackoverflow.com/questions/9823503;4;1.3;10.55;0.77;9.14;0.79;0.5;1.0;0.08;1;0;19.24;0.99;0.49;0.79;7;-1;-1;5;-1;
;https://stackoverflow.com/questions/11638123;12;1.23;10.34;0.76;9.3;0.81;0.5;0.75;0.03;1;0;17.01;0.88;0.4;0.65;15;-1;-1;51;-1;
;https://stackoverflow.com/questions/7074402;13;1.23;11.79;0.86;10.29;0.89;0.5;0.75;0.04;0;0;19.4;1.0;0.43;0.7;5;-1;-1;266;-1;
;https://stackoverflow.com/questions/7384908;98;1.0;8.36;0.61;10.19;0.88;0.0;1.0;0.03;0;0;17.49;0.9;0.32;0.51;14;-1;-1;383;-1;

Missed Threads: (0)

Trash in round 0: (134);https://stackoverflow.com/questions/31599313;0;1.79;11.14;0.82;8.07;0.7;0.75;0.5;0.03;2;1;11.85;0.61;0.35;0.56;2;-1;-1;4;-1;
;https://stackoverflow.com/questions/52693988;1;1.34;8.5;0.62;10.88;0.94;0.5;0.5;0.07;1;0;16.52;0.85;0.53;0.86;2;-1;-1;3;-1;
;https://stackoverflow.com/questions/3601472;2;1.33;11.44;0.84;9.55;0.83;0.5;0.75;0.03;1;0;12.97;0.67;0.46;0.75;7;-1;-1;47;-1;
;https://stackoverflow.com/questions/53124056;3;1.31;10.45;0.77;10.04;0.87;0.5;0.25;0.1;1;0;11.8;0.61;0.45;0.73;1;-1;-1;5;-1;
;https://stackoverflow.com/questions/8514046;5;1.3;10.55;0.77;9.3;0.81;0.5;0.25;0.06;1;0;16.36;0.84;0.47;0.76;2;-1;-1;3;-1;
;https://stackoverflow.com/questions/22332199;6;1.29;10.57;0.77;8.81;0.76;0.5;0.5;0.04;1;0;12.2;0.63;0.49;0.79;5;-1;-1;2;-1;
;https://stackoverflow.com/questions/28246225;7;1.28;11.17;0.82;9.16;0.79;0.25;0.75;0.05;0;0;13.77;0.71;0.59;0.95;2;-1;-1;6;-1;
;https://stackoverflow.com/questions/40388017;8;1.28;10.53;0.77;9.02;0.78;0.75;0.25;0.04;1;0;13.11;0.68;0.47;0.76;1;-1;-1;2;-1;
;https://stackoverflow.com/questions/7970857;9;1.27;10.3;0.76;9.03;0.78;0.25;0.5;0.05;0;0;13.42;0.69;0.62;1.0;15;-1;-1;147;-1;
;https://stackoverflow.com/questions/23566397;10;1.24;11.44;0.84;9.05;0.78;0.5;0.75;0.02;1;0;15.78;0.81;0.37;0.6;1;-1;-1;2;-1;
;https://stackoverflow.com/questions/11893053;11;1.24;9.61;0.7;9.15;0.79;0.25;0.25;0.01;0;0;13.34;0.69;0.61;0.98;11;-1;-1;29;-1;
;https://stackoverflow.com/questions/25918169;14;1.23;10.61;0.78;9.15;0.79;0.5;0.75;0.03;1;0;13.11;0.68;0.39;0.63;2;-1;-1;3;-1;
;https://stackoverflow.com/questions/8598225;15;1.21;9.6;0.7;9.29;0.8;0.5;0.75;0.03;0;0;13.65;0.7;0.57;0.92;7;-1;-1;18;-1;
;https://stackoverflow.com/questions/4234827;16;1.21;13.64;1.0;8.21;0.71;0.75;0.5;0.07;0;0;12.74;0.66;0.44;0.71;6;-1;-1;16;-1;
;https://stackoverflow.com/questions/21421253;17;1.21;10.14;0.74;8.81;0.76;0.5;0.25;0.01;1;0;11.7;0.6;0.41;0.66;3;-1;-1;7;-1;
;https://stackoverflow.com/questions/14884203;18;1.19;9.36;0.69;8.31;0.72;0.5;0.5;0.05;1;0;12.99;0.67;0.44;0.72;6;-1;-1;7;-1;
;https://stackoverflow.com/questions/40481140;19;1.18;10.03;0.74;9.25;0.8;0.0;0.5;0.03;0;0;13.9;0.72;0.51;0.83;2;-1;-1;5;-1;
;https://stackoverflow.com/questions/11250154;20;1.18;9.16;0.67;9.07;0.79;0.5;0.75;0.05;0;0;13.62;0.7;0.56;0.91;4;-1;-1;4;-1;
;https://stackoverflow.com/questions/3500506;21;1.18;9.7;0.71;8.41;0.73;0.5;0.5;0.03;1;0;12.12;0.62;0.42;0.67;10;-1;-1;24;-1;
;https://stackoverflow.com/questions/39860739;22;1.18;9.67;0.71;9.0;0.78;0.5;0.75;0.1;1;0;12.96;0.67;0.38;0.61;5;-1;-1;63;-1;


-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;

How do I compress or zip a directory recursively?


Found Threads: (7);Pivot;------;------;18.5;------;15.42;------;------;------;------;1;0;27.69;------;0.45;------;-1.0;------;------;-1.0
;https://stackoverflow.com/questions/2403830;0;1.54;16.18;0.87;13.99;0.91;0.75;0.5;0.06;1;0;22.0;0.79;0.36;0.79;3;-1;-1;13;-1;
;https://stackoverflow.com/questions/740375;1;1.32;16.93;0.92;13.48;0.87;0.25;0.75;0.03;0;0;18.67;0.67;0.39;0.86;5;-1;-1;83;-1;
;https://stackoverflow.com/questions/23318383;6;1.25;17.67;0.96;14.41;0.93;0.5;0.75;0.04;0;0;27.69;1.0;0.28;0.61;3;-1;-1;18;-1;
;https://stackoverflow.com/questions/3961087;33;1.15;15.3;0.83;11.93;0.77;0.0;0.5;0.02;0;0;14.18;0.51;0.31;0.69;7;-1;-1;30;-1;
;https://stackoverflow.com/questions/1399126;40;1.13;13.05;0.71;12.29;0.8;0.5;1.0;0.01;0;0;24.31;0.88;0.34;0.76;8;-1;-1;142;-1;
;https://stackoverflow.com/questions/15968883;46;1.11;15.07;0.81;11.13;0.72;0.25;0.75;0.01;0;0;18.09;0.65;0.31;0.69;12;-1;-1;306;-1;
;https://stackoverflow.com/questions/9324933;52;1.1;14.26;0.77;12.71;0.82;0.25;0.5;0.01;0;0;15.52;0.56;0.27;0.6;9;-1;-1;570;-1;

Missed Threads: (1);https://stackoverflow.com/questions/13461393;-1;14.58;17.97;-1;11.19;-1;0.5;0.5;0.29;0;0;0.0;-1;0.0;-1;5;-1;-1;41;-1;


Trash in round 0: (97);https://stackoverflow.com/questions/4212577;2;1.29;11.8;0.64;14.8;0.96;0.25;0.5;0.02;0;0;20.02;0.72;0.45;0.99;3;-1;-1;3;-1;
;https://stackoverflow.com/questions/31933204;3;1.29;14.14;0.76;12.96;0.84;0.5;0.25;0.06;0;0;15.21;0.55;0.44;0.97;1;-1;-1;4;-1;
;https://stackoverflow.com/questions/18280103;4;1.29;13.93;0.75;13.08;0.85;0.0;0.5;0.02;0;0;15.1;0.55;0.44;0.98;3;-1;-1;7;-1;
;https://stackoverflow.com/questions/19329502;5;1.27;16.6;0.9;14.55;0.94;0.25;0.5;0.03;0;0;15.02;0.54;0.32;0.7;3;-1;-1;2;-1;
;https://stackoverflow.com/questions/30183634;7;1.24;15.41;0.83;14.36;0.93;0.25;0.75;0.02;0;0;22.49;0.81;0.33;0.72;3;-1;-1;6;-1;
;https://stackoverflow.com/questions/27064496;8;1.24;16.33;0.88;10.49;0.68;0.5;0.5;0.04;0;0;20.59;0.74;0.42;0.92;3;-1;-1;11;-1;
;https://stackoverflow.com/questions/41557580;9;1.24;12.71;0.69;11.52;0.75;0.5;0.5;0.01;1;0;14.2;0.51;0.24;0.54;1;-1;-1;4;-1;
;https://stackoverflow.com/questions/12449888;10;1.23;15.33;0.83;13.75;0.89;0.25;0.5;0.03;0;0;19.51;0.7;0.34;0.74;1;-1;-1;6;-1;
