counter question1 question2 proximity
2 36052611 20231539 2
3 13464954 454908 2
4 4243293 2570410 2
5 35778726 562894 2
6 31578982 19896870 4
7 18242903 5951464 3
8 17340970 2866557 3
9 32495416 5667427 3
10 48147092 12096403 5
11 43606011 11624220 3
12 24932262 8066501 2
13 1330901 211143 2
14 14459674 744226 3
15 2378169 204784 5
16 23991119 2279030 3
17 7847004 2696812 4
18 30908704 28808130 3
19 29986308 3854748 3
20 46579964 46369792 4
21 18850930 3130311 5
22 24136055 473401 4
23 35551158 20001427 5
24 5414920 2504959 4
25 36843237 8601831 3
26 5076716 64745 5
27 27945620 409784 2
28 1074358 27578 7
29 28221528 17093862 5
30 17923872 10164975 2
31 4574090 2062020 4
32 43083379 37278282 2
33 36981563 36848307 2
34 795160 40480 5
35 22131527 13748124 3
36 25875692 363681 3
37 29400780 29380427 4
38 13669567 508735 3
39 30475908 1119385 4
40 49401285 3728062 2
41 23257469 513832 2
42 10614771 4542679 3
43 761588 2658922 7
44 46789953 2745265 2
45 17542378 4591206 3
46 15533497 1660856 3
47 19169771 19040802 1
48 18538183 11265464 6
49 49379578 20700053 3
50 11072925 767372 3
51 17998204 10367698 4
52 6075385 739689 4
53 15818109 3728062 2
54 48010575 30339679 2
55 34284239 18582223 2
56 25665867 13548573 1
57 15049020 3954616 2
58 50132448 13100019 2
59 7571250 5380177 2
60 13861413 13857979 4
61 28679658 2745265 3
62 17097704 19766 3
63 9686654 3849634 3
64 15871910 10382929 4
65 20538229 3109353 4
66 14006656 160970 3
67 7755364 6834106 3
68 32824706 29108963 3
69 46779095 31776546 5
70 6983302 3109950 3
71 26213058 3336392 5
72 30377843 409784 3
73 39764175 3505140 1
74 767372 513832 4
75 32536594 529085 4
76 38464664 22584427 3
77 40395516 18198176 6
78 12038065 2693223 3
79 29906659 28180915 3
80 11791513 2331513 4
81 33019759 6580677 3
82 9292940 7806709 1
83 27527265 4185340 4
84 19614957 1661273 2
85 8076534 1506410 2
86 1390024 10240694 4
87 39057501 17054000 3
88 106820 7295096 5
89 12659572 325443 4
90 9606428 2660827 3
91 20465381 1074869 4
92 29660999 604424 4
93 20442717 11187148 3
94 44857222 6343166 6
95 21871497 19896870 4
96 1163139 1612334 6
97 14385772 12728527 2
98 46527036 1998544 3
99 31714663 12289232 6
100 24866491 12618915 3
101 5797473 285619 5
102 33055625 6729605 3
103 14248216 14074874 2
104 32468431 8881291 3
105 33956697 1453369 2
106 34992084 215497 2
107 50230897 17759004 3
108 4233793 499437 4
109 30880972 28818506 4
110 35562905 702415 4
111 22416578 6431933 5
112 33967988 1647260 4
113 44745523 41912028 5
114 943927 48249 3
115 8295256 334518 4
116 14037150 3440833 3
117 5512442 2422468 7
118 36556446 4093504 4
119 40106229 33549941 4
120 15024933 1700081 5
121 34998080 1841461 3
122 49381647 16289983 4
123 28352036 2307697 3
124 34567944 28554413 6
125 4007512 8918826 3
126 12776307 6352139 3
128 32294288 25425130 4
129 30189606 5192512 3
130 15075720 3189153 6
131 1154254 2340406 4
132 20768720 3106452 6
133 13453978 7026507 4
134 44135522 44121531 5
135 46999835 24633273 4
136 42518637 513832 2
137 49376007 16143684 4
138 37565839 5306835 2
139 11041418 6792197 3
140 47413609 22591201 3
141 15402058 3512603 2
142 12048877 7998669 2
143 31965928 17191575 2
144 22408428 16030858 6
145 3430780 2084169 2
146 38146455 17253979 2
147 28597960 5104192 4
148 45511377 8387989 3
149 2729580 2237803 4
150 16745775 271526 5
151 23082230 8330370 3
152 46342169 19896870 5
153 2022894 1907318 2
154 17992532 13699075 3
155 19918455 19889132 5
156 3738312 1088509 6
157 24256469 17537216 3
158 47588491 32771415 5
159 19823761 12834887 5
160 26032466 869033 2
161 14355651 1671378 2
162 4021851 1751844 5
163 34125101 32438403 2
164 9936648 7693324 5
165 6609754 187453 5
166 200513 2071682 5
167 7034781 453388 3
168 14478268 13426142 2
169 14654540 366202 3
170 26460732 9344305 3
171 37177363 2839321 2
172 3222972 1453171 4
173 33835414 14868284 2
174 25389880 14602062 3
175 1196586 223918 3
176 21043362 890966 5
177 35695800 22518907 4
178 5101121 2849450 2
179 49007919 2629475 2
180 45237902 17860595 2
181 36827222 2983248 3
182 23549433 12861726 3
183 12003706 10828398 2
184 36844387 14655913 3
185 25917531 4956844 2
186 49401258 43260752 2
187 32950007 223918 2
188 15453826 873809 5
189 7938050 6560969 4
190 23863128 1200621 3
191 17814293 5350950 2
192 27534536 70324 4
193 47284006 19896870 4
194 20895784 212321 2
195 4491199 4955635 3
196 11664223 11682197 4
197 30454933 3504986 2
198 17734954 5258159 3
199 35917722 21268062 2
200 30693880 20001427 4
201 25202926 44817768 1
202 5944760 1636038 3
203 13860496 513832 3
204 38636254 16377754 2
205 40422607 11817237 2
206 9372387 7050233 2
207 14102865 1907318 3
208 17153539 10594052 1
209 31497002 218384 4
210 33012007 218384 2
211 40180280 11441666 3
212 12883319 3746639 2
213 28317420 869033 3
214 39077303 5554734 2
215 16828176 668083 3
216 31512187 6856133 2
