Query;Thread Id;Rank;threadFinalScore;threadTitleAsymSim;threadTitleAsymSimNorm;threadBodyAsymSim;threadBodyAsymSimNorm;queryTitleCoverageScore;queryCodeCoverageScore;jaccard;2-gramsScore;3-gramsScore;bm25Score;bm25ScoreNorm;tf-idf;tf-idfNorm;AnswerCount;AnswerCountNorm;ThreadUpScore;ThreadTotalUpScore;ThreadTotalUpScoreNorm;

How can I insert an element in array at a given position?


Found Threads: (4);Pivot;------;------;13.64;------;11.54;------;------;------;------;2;1;19.4;------;0.62;------;19.0;------;------;498.0
;https://stackoverflow.com/questions/7074402;3;2.36;11.79;0.86;10.29;0.89;0.5;0.75;0.04;0;0;19.4;1.0;0.43;0.7;5;0.3;0.6;266;0.5;
;https://stackoverflow.com/questions/11638123;10;2.14;10.34;0.76;9.3;0.81;0.5;0.75;0.03;1;0;17.01;0.88;0.4;0.65;15;0.8;0.4;51;0.1;
;https://stackoverflow.com/questions/9823503;11;1.86;10.55;0.77;9.14;0.79;0.5;1.0;0.08;1;0;19.24;0.99;0.49;0.79;7;0.4;0.2;5;0.0;
;https://stackoverflow.com/questions/7384908;23;2.46;8.36;0.61;10.19;0.88;0.0;1.0;0.03;0;0;17.49;0.9;0.32;0.51;14;0.7;0.8;383;0.8;

Missed Threads: (0)

Trash in round 2: (21);https://stackoverflow.com/questions/7581363;0;1.86;12.47;0.91;8.45;0.73;0.75;0.5;0.03;0;0;12.35;0.64;0.28;0.45;4;0.2;0.4;65;0.1;
;https://stackoverflow.com/questions/16346428;1;1.76;11.05;0.81;10.09;0.87;0.25;0.25;0.03;0;0;12.66;0.65;0.39;0.62;3;0.2;0.2;6;0.0;
;https://stackoverflow.com/questions/11893053;2;2.09;9.61;0.7;9.15;0.79;0.25;0.25;0.01;0;0;13.34;0.69;0.61;0.98;11;0.6;0.3;29;0.1;
;https://stackoverflow.com/questions/4234827;4;2.01;13.64;1.0;8.21;0.71;0.75;0.5;0.07;0;0;12.74;0.66;0.44;0.71;6;0.3;0.3;16;0.0;
;https://stackoverflow.com/questions/7970857;5;2.45;10.3;0.76;9.03;0.78;0.25;0.5;0.05;0;0;13.42;0.69;0.62;1.0;15;0.8;0.5;147;0.3;
;https://stackoverflow.com/questions/8598225;6;1.87;9.6;0.7;9.29;0.8;0.5;0.75;0.03;0;0;13.65;0.7;0.57;0.92;7;0.4;0.2;18;0.0;
;https://stackoverflow.com/questions/5134555;7;1.84;10.26;0.75;9.4;0.82;0.25;0.75;0.03;0;0;12.77;0.66;0.34;0.56;8;0.4;0.3;33;0.1;
;https://stackoverflow.com/questions/10751603;8;1.79;10.47;0.77;11.54;1.0;0.5;0.25;0.05;0;0;11.92;0.61;0.28;0.45;6;0.3;0.3;21;0.0;
;https://stackoverflow.com/questions/5884353;9;2.54;11.11;0.81;6.49;0.56;0.5;0.5;0.02;0;0;12.7;0.65;0.37;0.59;10;0.5;0.8;498;1.0;
;https://stackoverflow.com/questions/5237101;12;2.29;11.15;0.82;9.4;0.81;0.5;0.75;0.03;0;0;12.46;0.64;0.2;0.32;12;0.6;0.7;243;0.5;
;https://stackoverflow.com/questions/39860739;13;1.81;9.67;0.71;9.0;0.78;0.5;0.75;0.1;1;0;12.96;0.67;0.38;0.61;5;0.3;0.4;63;0.1;
;https://stackoverflow.com/questions/48590656;14;1.75;11.07;0.81;10.05;0.87;0.75;1.0;0.04;0;0;17.96;0.93;0.32;0.51;5;0.3;0.2;3;0.0;
;https://stackoverflow.com/questions/3500506;15;1.81;9.7;0.71;8.41;0.73;0.5;0.5;0.03;1;0;12.12;0.62;0.42;0.67;10;0.5;0.3;24;0.0;
;https://stackoverflow.com/questions/9995432;16;1.8;8.22;0.6;8.13;0.71;0.25;0.75;0.04;0;0;11.83;0.61;0.48;0.78;8;0.4;0.4;33;0.1;
;https://stackoverflow.com/questions/22332199;17;1.75;10.57;0.77;8.81;0.76;0.5;0.5;0.04;1;0;12.2;0.63;0.49;0.79;5;0.3;0.1;2;0.0;
;https://stackoverflow.com/questions/9236921;18;1.75;11.77;0.86;9.39;0.81;0.5;0.25;0.03;0;0;12.1;0.62;0.35;0.56;3;0.2;0.2;8;0.0;
;https://stackoverflow.com/questions/8559092;19;2.74;9.58;0.7;8.7;0.75;0.25;0.75;0.02;0;0;12.34;0.64;0.38;0.61;19;1.0;0.8;470;0.9;
;https://stackoverflow.com/questions/3601472;20;2.08;11.44;0.84;9.55;0.83;0.5;0.75;0.03;1;0;12.97;0.67;0.46;0.75;7;0.4;0.4;47;0.1;
;https://stackoverflow.com/questions/4401850;21;1.94;9.84;0.72;7.5;0.65;0.0;0.75;0.02;0;0;12.57;0.65;0.36;0.58;9;0.5;0.5;77;0.2;
;https://stackoverflow.com/questions/48635549;22;1.78;12.97;0.95;8.6;0.75;1.0;0.5;0.05;0;0;14.88;0.77;0.38;0.62;1;0.1;0.2;6;0.0;


-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;

How do I compress or zip a directory recursively?


Found Threads: (7);Pivot;------;------;18.5;------;15.42;------;------;------;------;1;0;27.69;------;0.45;------;14.0;------;------;570.0
;https://stackoverflow.com/questions/15968883;0;2.52;15.07;0.81;11.13;0.72;0.25;0.75;0.01;0;0;18.09;0.65;0.31;0.69;12;0.9;0.6;306;0.5;
;https://stackoverflow.com/questions/1399126;1;2.13;13.05;0.71;12.29;0.8;0.5;1.0;0.01;0;0;24.31;0.88;0.34;0.76;8;0.6;0.5;142;0.2;
;https://stackoverflow.com/questions/3961087;2;2.01;15.3;0.83;11.93;0.77;0.0;0.5;0.02;0;0;14.18;0.51;0.31;0.69;7;0.5;0.3;30;0.1;
;https://stackoverflow.com/questions/9324933;5;2.74;14.26;0.77;12.71;0.82;0.25;0.5;0.01;0;0;15.52;0.56;0.27;0.6;9;0.6;0.9;570;1.0;
;https://stackoverflow.com/questions/23318383;6;1.98;17.67;0.96;14.41;0.93;0.5;0.75;0.04;0;0;27.69;1.0;0.28;0.61;3;0.2;0.3;18;0.0;
;https://stackoverflow.com/questions/2403830;7;1.92;16.18;0.87;13.99;0.91;0.75;0.5;0.06;1;0;22.0;0.79;0.36;0.79;3;0.2;0.2;13;0.0;
;https://stackoverflow.com/questions/740375;15;2.28;16.93;0.92;13.48;0.87;0.25;0.75;0.03;0;0;18.67;0.67;0.39;0.86;5;0.4;0.5;83;0.1;

Missed Threads: (1);https://stackoverflow.com/questions/13461393;-1;14.58;17.97;-1;11.19;-1;0.5;0.5;0.29;0;0;0.0;-1;0.0;-1;5;-1;-1;41;-1;


Trash in round 2: (18);https://stackoverflow.com/questions/981578;3;2.28;16.57;0.9;12.83;0.83;0.25;0.5;0.01;0;0;17.73;0.64;0.29;0.63;8;0.6;0.5;119;0.2;
;https://stackoverflow.com/questions/7128171;4;2.21;17.77;0.96;13.68;0.89;0.25;0.5;0.02;0;0;21.86;0.79;0.18;0.4;7;0.5;0.5;101;0.2;
;https://stackoverflow.com/questions/325202;8;2.33;14.62;0.79;12.65;0.82;0.25;0.5;0.01;0;0;13.11;0.47;0.21;0.46;14;1.0;0.6;91;0.2;
;https://stackoverflow.com/questions/12030703;9;2.01;15.61;0.84;11.01;0.71;0.25;0.25;0.01;0;0;16.43;0.59;0.37;0.83;4;0.3;0.4;51;0.1;
;https://stackoverflow.com/questions/10633595;10;1.98;16.22;0.88;11.02;0.71;0.25;0.75;0.02;0;0;19.19;0.69;0.27;0.59;6;0.4;0.4;81;0.1;
;https://stackoverflow.com/questions/4773778;11;2.16;14.22;0.77;13.18;0.85;0.25;0.5;0.02;0;0;16.43;0.59;0.33;0.74;7;0.5;0.5;102;0.2;
;https://stackoverflow.com/questions/15667125;12;1.97;12.62;0.68;10.46;0.68;0.25;0.5;0.01;0;0;14.06;0.51;0.27;0.6;5;0.4;0.5;226;0.4;
